Producer,Wine Name,Score,Region,Vintage,Colour,Description
Lake Chalice,Plume Pinot Noir,86,Marlborough,2017,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Clayvin Single Vineyard Chardonnay,94,Marlborough,2017,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Spy Valley,Envoy Outpost Pinot Noir,89,Marlborough,2017,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Te Kano Estate,Northburn Chardonnay,91,Central Otago,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Vidal,Reserve Chardonnay,88,Hawke's Bay,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Spy Valley,Envoy Johnson Sauvignon Blanc,94,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Waipara West,Sauvignon Blanc,95,Waipara,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Church Road,1 Single Vineyard Terraces Chardonnay,92,Hawke's Bay,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Church Road,McDonald Series Merlot,95,Hawke's Bay,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Stoneleigh,Latitude Pinot Noir,91,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
The Hunting Lodge,Seasonal Collection Syrah,93,Hawke's Bay,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
The Hunting Lodge,Seasonal Collection Lagrein,91,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Pask,Declaration Syrah,91,Hawke's Bay,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Pask,Chardonnay,87,Hawke's Bay,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Te P? Family Vineyards,Organic Pinot Noir,92,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Mutu,Reserve Chardonnay,95,Hawke's Bay,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Esk Valley,Artisanal Collection,91,Hawke's Bay,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Esk Valley,Artisanal Syrah,95,Hawke's Bay,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Esk Valley,Artisanal Collection Albarino,89,Hawke's Bay,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Esk Valley,Seabed Chardonnay,94,Hawke's Bay,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Ara Resolute Sauvignon Blanc,87,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Leftfield,Flamingo Recluse Wholeberry Pinot Noir,91,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Clayvin Single Vineyard Syrah,93,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Ara Resolute Pinot Noir,95,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Small Batch Pinot Noir,91,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Organic Pinot Noir,88,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,The August Sauvignon Blanc,87,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Earth Garden Merlot-Cabernet Sauvignon,92,Hawke's Bay,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Private Bin Merlot,89,Hawke's Bay,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Private Bin Pinot Noir,89,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Reserve Chardonnay,90,Hawke's Bay,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Keltern Chardonnay,92,Hawke's Bay,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,EarthGarden Rose,86,Hawke's Bay,2021,Rose,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Cellar Selection Pinot Noir,90,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Single Vineyard Chardonnay,86,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Single Vineyard McDiarmid Hill Chardonnay,94,Gisborne,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Paddy Borthwick,Pinot Noir,91,Wairarapa,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Craggy Range,Chardonnay,90,Hawke's Bay,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Te Kairanga,John Martin Pinot Noir,93,Wairarapa,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Martinborough Vineyard,Te Tera Pinot Noir,89,Wairarapa,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Craggy Range,Syrah,92,Hawke's Bay,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Brancott Estate,Letter Series O Chardonnay,95,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Urlar,Pinot Noir,89,Wairarapa,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Urlar,Organic Sauvignon Blanc,88,Wairarapa,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Mc Arthur Ridge,Southern Tor Pinot Noir,96,Central Otago,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Lawson's Dry Hills,Reserve Chardaonnay,93,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Akarua,Pinot Noir,93,Central Otago,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Yealands Estate Wines,Single Vineyard Sauvignon Blanc,86,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Catalina Sounds,Sound of White Pinot Noir,92,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Catalina Sounds,Pinot Noir,91,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Nanny Goat Vineyard,Queensberry Chardonnay,94,Central Otago,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Nanny Goat Vineyard,Pinot Noir,95,Central Otago,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Nanny Goat Vineyard,Super Nanny Pinot Noir,95,Central Otago,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Nanny Goat Vineyard,Queensberry Pinot Noir,88,Central Otago,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Catalina Sounds,Chardonnay,90,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Catalina Sounds,Barrel Fermented Sauvignon Blanc,90,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Catalina Sounds,Sound of White Chardonnay,93,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Marisco Vineyards,The Craft Series 'The Exemplar' Viognier,93,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Marisco Vineyards,The Craft Series 'Pride & Glory' Sauvignon Blanc,92,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Matahiwi Estate,Holly South Series Chardonnay,90,Wairarapa,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Matahiwi Estate,Holly South Series Pinot Noir,90,Wairarapa,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Matahiwi Estate,Bruce,88,Wairarapa,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Marisco Vineyards,The Craft Series 'The Journey' Pinot Noir,89,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Marisco Vineyards,Leefield Station Pinot Noir,94,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Marisco Vineyards,The Ned Pinot Noir,91,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Marisco Vineyards,The Craft Series 'The Pioneer' Chardonnay,94,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Lake Chalice,The Falcon Pinot Noir,89,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Lake Chalice,The Raptor Pinot Noir,92,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Hunter's,Pinot Noir,90,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Delta Estate,Chardonnay,89,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Delta Estate,Pinot Noir,89,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
